speaker,start,end,text
A,00:00,00:17,Foreign. English Conversation between two friends hey James. How are you?
B,00:18,00:22,Oh my God. Emma. I am good. How are you?
A,00:23,00:25,Hey James. How are you?
B,00:26,00:29,Oh my God. Emma. I am good. How are you?
A,00:30,00:32,I am amazing.
B,00:33,00:36,Great. Take the seat. This seat is empty.
A,00:37,00:38,I am amazing.
B,00:40,00:43,Great. Take the seat. This seat is empty.
A,00:44,00:46,Long time no see.
B,00:47,00:50,Yeah. Been busy with college. What about you?
A,00:52,00:53,Long time no see.
B,00:55,00:58,Yeah. Been busy with college. What about you?
A,00:59,01:04,Same. I have been busy with college too. What are you doing now?
B,01:05,01:08,I just finished my graduation. What are you doing?
A,01:10,01:14,Same. I have been busy with college too. What are you doing now?
B,01:15,01:18,I just finished my graduation. What are you doing?
A,01:19,01:23,I am doing homeopathy at a nearby college.
B,01:24,01:27,That's nice. How come you are on this train today?
A,01:28,01:31,I am doing homeopathy at a nearby college.
B,01:32,01:35,That's nice. How come you are on this train today?
A,01:37,01:42,My college is here so I travel every day by this train. How come you are here today?
B,01:43,01:48,We had our convocation today so everyone had to come and collect their degree.
A,01:49,01:55,My college is here so I travel every day by this train. How come you are here today?
B,01:56,02:01,We had our convocation today so everyone had to come and collect their degree.
A,02:02,02:04,Oh. Congratulations.
B,02:06,02:12,Thank you. I have been traveling by this train throughout my graduation years and it is one of the best trains.
A,02:14,02:16,"Oh, Congratulations."
B,02:17,02:23,Thank you. I have been traveling by this train throughout my graduation years and it is one of the best trains.
A,02:25,02:30,"Yeah, I know. It is always empty and we always get a seat for ourselves."
B,02:31,02:35,This is the exact reason I used to board this train all the time.
A,02:37,02:41,"Yeah, I know. It is always empty and we always get a seat for ourselves."
B,02:43,02:47,This is the exact reason I used to board this train all the time.
A,02:48,02:54,"After being tired for the whole day, it is a relief to board an empty train."
B,02:55,03:01,"I know that feeling. Hey, what about your homeopathy? When is your course coming to an end?"
A,03:02,03:07,"After being tired for the whole day, it is a relief to board an empty train."
B,03:09,03:15,"I know that feeling. Hey, what about your homeopathy? When is your course coming to an end?"
A,03:16,03:25,"Oh, it is going to take another year. I also have to intern compulsorily and only then I and other students will get a degree."
B,03:26,03:28,One more year to go.
A,03:29,03:38,"Oh, it is going to take another year. I also have to intern compulsorily and only then I and other students will get a degree."
B,03:40,03:41,One more year to go.
A,03:43,03:44,Yeah. I hope it goes well.
B,03:46,03:48,Don't worry. It will go well.
A,03:49,03:51,"Yeah, I hope it goes well."
B,03:52,03:54,Don't worry. It will go well.
A,03:55,04:00,I think the train has reached. It was good meeting you after a long time.
B,04:02,04:09,"Yeah, it was nice to see you too. Anyway, we will meet soon. Till then, all the best and take care. Bye."
A,04:10,04:14,I think the train has reached. It was good meeting you after a long time.
B,04:16,04:23,"Yeah, it was nice to see you too. Anyway, we will meet soon. Till then, all the best and take care. Bye."
A,04:24,04:28,"Yeah, I'll see you soon. You take care too. Bye."
